"Analysis","Pipeline version","Sample","MGnify ID","Experiment type","Assembly","ENA run","ENA WGS sequence set"
"MGYA00236386","4.1","SRS3194304","MGYS00003194","metagenomic",,"SRR7599132",
"MGYA00211680","4.1","ERS2652970","MGYS00002961","metagenomic",,"ERR2739202",
"MGYA00245411","4.1","ERS2085121","MGYS00003488","metagenomic",,"ERR2241676",
"MGYA00232904","4.1","SRS3195111","MGYS00003194","metagenomic",,"SRR7595274",
"MGYA00199096","4.1","ERS2509125","MGYS00002706","metagenomic",,"ERR2597426",
"MGYA00221120","4.1","SRS2417896","MGYS00003194","metagenomic",,"SRR5916627",
"MGYA00245766","4.1","ERS2085318","MGYS00003488","metagenomic",,"ERR2245485",
"MGYA00239216","4.1","SRS209919","MGYS00003439","metagenomic",,"SRR218113",
"MGYA00211821","4.1","ERS2653016","MGYS00002961","metagenomic",,"ERR2739227",
"MGYA00211592","4.1","ERS2652930","MGYS00002961","metagenomic",,"ERR2738678",
"MGYA00211837","4.1","ERS2652972","MGYS00002961","metagenomic",,"ERR2739209",
"MGYA00152960","4.1","SRS2472197","MGYS00002301","metagenomic",,"SRR5983366",
"MGYA00166553","4.1","ERS2464068","MGYS00002388","metagenomic",,"ERR2560680",
"MGYA00211538","4.1","ERS2653052","MGYS00002961","metagenomic",,"ERR2739314",
"MGYA00245517","4.1","ERS2085227","MGYS00003488","metagenomic",,"ERR2241782",
"MGYA00218230","4.1","ERS2765155","MGYS00003179","metagenomic",,"ERR2815305",
"MGYA00212040","4.1","ERS2652897","MGYS00002961","metagenomic",,"ERR2738566",
"MGYA00153101","4.1","SRS2472205","MGYS00002301","metagenomic",,"SRR5983355",
"MGYA00212183","4.1","ERS2652959","MGYS00002961","metagenomic",,"ERR2738842",
"MGYA00212133","4.1","ERS2652903","MGYS00002961","metagenomic",,"ERR2738583",
"MGYA00157201","4.1","ERS1445007","MGYS00001311","metagenomic",,"ERR1736725",
"MGYA00199111","4.1","ERS2509131","MGYS00002706","metagenomic",,"ERR2597432",
"MGYA00211939","4.1","ERS2652942","MGYS00002961","metagenomic",,"ERR2738746",
"MGYA00212037","4.1","ERS2652982","MGYS00002961","metagenomic",,"ERR2738931",
"MGYA00232795","4.1","SRS3195142","MGYS00003194","metagenomic",,"SRR7595165",
"MGYA00212070","4.1","ERS2652978","MGYS00002961","metagenomic",,"ERR2738906",
"MGYA00232906","4.1","SRS3195153","MGYS00003194","metagenomic",,"SRR7595276",
"MGYA00245391","4.1","ERS2085101","MGYS00003488","metagenomic",,"ERR2241656",
